,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Flag,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather,datetime
26,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 02:00,2024,1,2,02:00,,-1.9,,-5.8,,75.0,,0.0,,23.0,,17.0,,,,100.8,,,,-7.0,,,2024-01-02 02:00:00
27,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 03:00,2024,1,2,03:00,,-1.4,,-5.0,,77.0,,0.0,,22.0,,22.0,,,,100.78,,,,-7.0,,,2024-01-02 03:00:00
28,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 04:00,2024,1,2,04:00,,-1.2,,-5.2,,74.0,,0.0,,25.0,,24.0,,,,100.75,,,,-7.0,,,2024-01-02 04:00:00
29,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 05:00,2024,1,2,05:00,,-1.7,,-5.8,,74.0,,0.0,,26.0,,22.0,,,,100.74,,,,-8.0,,,2024-01-02 05:00:00
30,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 06:00,2024,1,2,06:00,,-1.4,,-5.0,,77.0,,0.0,,26.0,,16.0,,,,100.74,,,,-6.0,,,2024-01-02 06:00:00
31,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 07:00,2024,1,2,07:00,,-1.7,,-5.2,,77.0,,0.0,,26.0,,14.0,,,,100.75,,,,-6.0,,,2024-01-02 07:00:00
32,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 08:00,2024,1,2,08:00,,-1.8,,-5.2,,78.0,,0.0,,26.0,,13.0,,,,100.73,,,,-6.0,,,2024-01-02 08:00:00
33,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 09:00,2024,1,2,09:00,,-1.4,,-4.8,,78.0,,0.0,,26.0,,15.0,,,,100.72,,,,-6.0,,,2024-01-02 09:00:00
34,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 10:00,2024,1,2,10:00,,-1.0,,-4.6,,77.0,,0.0,,26.0,,16.0,,,,100.7,,,,-6.0,,,2024-01-02 10:00:00
35,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 11:00,2024,1,2,11:00,,-0.4,,-3.8,,78.0,,0.0,,25.0,,18.0,,,,100.64,,,,-5.0,,,2024-01-02 11:00:00
36,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 12:00,2024,1,2,12:00,,0.2,,-3.2,,78.0,,0.0,,25.0,,19.0,,,,100.54,,,,,,,2024-01-02 12:00:00
37,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 13:00,2024,1,2,13:00,,0.6,,-3.0,,77.0,,0.0,,23.0,,33.0,,,,100.44,,,,,,,2024-01-02 13:00:00
38,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 14:00,2024,1,2,14:00,,0.8,,-2.9,,76.0,,0.0,,25.0,,26.0,,,,100.39,,,,,,,2024-01-02 14:00:00
39,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 15:00,2024,1,2,15:00,,0.8,,-2.9,,76.0,,0.0,,25.0,,25.0,,,,100.38,,,,,,,2024-01-02 15:00:00
40,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 16:00,2024,1,2,16:00,,1.3,,-2.4,,76.0,,0.0,,24.0,,29.0,,,,100.35,,,,,,,2024-01-02 16:00:00
41,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 17:00,2024,1,2,17:00,,1.1,,-2.7,,76.0,,0.0,,26.0,,16.0,,,,100.39,,,,,,,2024-01-02 17:00:00
42,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 18:00,2024,1,2,18:00,,1.3,,-2.2,,78.0,,0.0,,25.0,,18.0,,,,100.34,,,,,,,2024-01-02 18:00:00
43,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 19:00,2024,1,2,19:00,,1.5,,-2.0,,78.0,,0.0,,25.0,,17.0,,,,100.34,,,,,,,2024-01-02 19:00:00
44,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 20:00,2024,1,2,20:00,,1.4,,-2.6,,75.0,,0.0,,26.0,,19.0,,,,100.36,,,,,,,2024-01-02 20:00:00
45,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 21:00,2024,1,2,21:00,,1.0,,-3.7,,71.0,,0.0,,25.0,,18.0,,,,100.36,,,,,,,2024-01-02 21:00:00
46,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 22:00,2024,1,2,22:00,,0.8,,-3.9,,71.0,,0.0,,27.0,,16.0,,,,100.37,,,,,,,2024-01-02 22:00:00
47,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-02 23:00,2024,1,2,23:00,,0.6,,-4.1,,71.0,,0.0,,25.0,,14.0,,,,100.38,,,,,,,2024-01-02 23:00:00
48,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 00:00,2024,1,3,00:00,,1.1,,-3.6,,71.0,,0.0,,25.0,,20.0,,,,100.33,,,,,,,2024-01-03 00:00:00
49,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 01:00,2024,1,3,01:00,,1.3,,-2.7,,74.0,,0.0,,25.0,,22.0,,,,100.3,,,,,,,2024-01-03 01:00:00
50,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 02:00,2024,1,3,02:00,,1.5,,-1.9,,78.0,,0.0,,24.0,,22.0,,,,100.29,,,,,,,2024-01-03 02:00:00
51,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 03:00,2024,1,3,03:00,,1.8,,-1.3,,80.0,,0.0,,25.0,,26.0,,,,100.28,,,,,,,2024-01-03 03:00:00
52,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 04:00,2024,1,3,04:00,,1.5,,-1.4,,81.0,,0.0,,26.0,,16.0,,,,100.27,,,,,,,2024-01-03 04:00:00
53,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 05:00,2024,1,3,05:00,,1.3,,-1.2,,83.0,,0.0,,26.0,,15.0,,,,100.28,,,,,,,2024-01-03 05:00:00
54,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 06:00,2024,1,3,06:00,,0.6,,-0.5,,92.0,,0.0,,26.0,,15.0,,,,100.3,,,,,,,2024-01-03 06:00:00
55,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 07:00,2024,1,3,07:00,,1.0,,-0.1,,92.0,,0.0,,25.0,,14.0,,,,100.3,,,,,,,2024-01-03 07:00:00
56,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 08:00,2024,1,3,08:00,,1.3,,-0.2,,90.0,,0.0,,25.0,,16.0,,,,100.27,,,,,,,2024-01-03 08:00:00
57,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 09:00,2024,1,3,09:00,,1.5,,-0.4,,88.0,,0.0,,26.0,,16.0,,,,100.3,,,,,,,2024-01-03 09:00:00
58,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 10:00,2024,1,3,10:00,,1.6,,-0.5,,85.0,,0.0,,25.0,,12.0,,,,100.29,,,,,,,2024-01-03 10:00:00
59,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 11:00,2024,1,3,11:00,,1.7,,-0.6,,85.0,,0.0,,25.0,,11.0,,,,100.28,,,,,,,2024-01-03 11:00:00
60,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 12:00,2024,1,3,12:00,,1.9,,-0.6,,83.0,,0.0,,25.0,,10.0,,,,100.21,,,,,,,2024-01-03 12:00:00
61,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 13:00,2024,1,3,13:00,,2.3,,-1.0,,79.0,,0.0,,25.0,,12.0,,,,100.14,,,,,,,2024-01-03 13:00:00
62,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 14:00,2024,1,3,14:00,,2.6,,-1.1,,77.0,,0.0,,25.0,,15.0,,,,100.12,,,,,,,2024-01-03 14:00:00
63,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 15:00,2024,1,3,15:00,,2.7,,-0.7,,79.0,,0.0,,25.0,,11.0,,,,100.11,,,,,,,2024-01-03 15:00:00
64,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 16:00,2024,1,3,16:00,,2.6,,-0.6,,79.0,,0.0,,26.0,,10.0,,,,100.1,,,,,,,2024-01-03 16:00:00
65,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 17:00,2024,1,3,17:00,,2.5,,-0.9,,78.0,,0.0,,22.0,,13.0,,,,100.1,,,,,,,2024-01-03 17:00:00
66,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 18:00,2024,1,3,18:00,,2.2,,-1.0,,79.0,,0.0,,22.0,,17.0,,,,100.12,,,,,,,2024-01-03 18:00:00
67,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 19:00,2024,1,3,19:00,,2.4,,-0.7,,80.0,,0.0,,23.0,,17.0,,,,100.15,,,,,,,2024-01-03 19:00:00
68,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 20:00,2024,1,3,20:00,,2.4,,-0.8,,80.0,,0.0,,25.0,,17.0,,,,100.12,,,,,,,2024-01-03 20:00:00
69,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 21:00,2024,1,3,21:00,,2.2,,-0.4,,83.0,,0.0,,26.0,,10.0,,,,100.08,,,,,,,2024-01-03 21:00:00
70,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 22:00,2024,1,3,22:00,,2.1,,-0.8,,82.0,,0.0,,26.0,,15.0,,,,100.05,,,,,,,2024-01-03 22:00:00
71,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-03 23:00,2024,1,3,23:00,,1.7,,-1.1,,82.0,,0.0,,25.0,,13.0,,,,100.04,,,,,,,2024-01-03 23:00:00
72,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 00:00,2024,1,4,00:00,,1.3,,-1.6,,81.0,,0.0,,27.0,,14.0,,,,100.02,,,,,,,2024-01-04 00:00:00
73,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 01:00,2024,1,4,01:00,,1.0,,-1.9,,81.0,,0.0,,27.0,,12.0,,,,100.01,,,,,,,2024-01-04 01:00:00
74,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 02:00,2024,1,4,02:00,,1.2,,-1.9,,80.0,,0.0,,27.0,,15.0,,,,100.04,,,,,,,2024-01-04 02:00:00
75,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 03:00,2024,1,4,03:00,,0.7,,-1.5,,86.0,,0.0,,28.0,,11.0,,,,100.09,,,,,,,2024-01-04 03:00:00
76,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 04:00,2024,1,4,04:00,,0.5,,-1.5,,87.0,,0.0,,30.0,,11.0,,,,100.12,,,,,,,2024-01-04 04:00:00
